ID,ComplainDate,CompletionDate,CustomerID,BrokerID,ProductID,ComplainPriorityID,ComplainTypeID,ComplainSourceID,ComplainCategoryID,ComplainStatusID,ClientSatisfaction,ExpectedReimbursement,RegionID
12925,08/27/19,08/27/19,20154,12299,60,2,5,5,59,9,SAT,0,358
12272,04/25/19,04/30/19,20309,8399,75,2,5,5,59,9,SAT,0,209
11889,04-10-19,04-12-19,21404,10892,2,2,5,5,59,9,SAT,0,724
9638,05/22/18,05/22/18,23061,10983,42,2,5,5,59,9,SAT,0,993
12008,04/16/19,04/17/19,380905,8367,12,2,5,5,59,9,SAT,0,291
12120,04/18/19,04/22/19,25169,10563,27,2,5,5,59,9,SAT,0,473
12932,08/28/19,08/28/19,1750150,11114,62,2,5,5,59,9,SAT,0,279
11243,03/13/19,03/18/19,30379,8063,67,2,5,5,59,9,SAT,0,21
11962,04/15/19,04/15/19,30379,2309,47,2,5,5,59,9,SAT,0,21
11833,04-08-19,04-09-19,30477,133,69,2,5,5,59,9,SAT,0,817
11515,03/21/19,04-01-19,2384433,2482,52,2,5,5,59,9,SAT,0,312
12151,04/19/19,04/23/19,1689909,9211,31,2,5,5,59,9,SAT,0,679
11156,03-07-19,03-12-19,2379696,12621,74,2,5,5,59,9,SAT,0,675
11381,03/19/19,04-01-19,35693,9405,14,2,5,5,59,9,SAT,0,279
11757,04-03-19,04-04-19,36411,235,71,2,5,5,59,9,SAT,0,106
11975,04/15/19,04/16/19,38209,11030,65,2,5,5,59,9,SAT,0,631
12218,04/23/19,04/24/19,580989,1737,62,2,5,5,59,9,SAT,0,216
11118,03-07-19,03-08-19,39142,12428,42,2,5,5,59,9,SAT,0,337
12241,04/24/19,04/25/19,39819,10324,50,2,5,5,59,9,SAT,0,640
11332,03/15/19,03/20/19,1848833,11537,4,2,5,5,59,9,SAT,0,64
12310,05-03-19,05-06-19,40253,12367,72,2,5,5,59,9,SAT,0,325
12026,04/17/19,04/18/19,40359,1873,62,2,5,5,59,9,SAT,0,463
12727,07-10-19,07-10-19,42374,10618,23,2,5,5,59,9,SAT,0,498
12814,07/30/19,07/30/19,44030,221,68,2,5,5,59,9,SAT,0,989
11563,03/22/19,04-01-19,45757,507,49,2,5,5,59,9,SAT,0,22
11550,03/22/19,04-01-19,46457,11137,55,2,5,5,59,9,SAT,0,601
11774,04-04-19,04-05-19,273763,11937,57,2,5,5,59,9,SAT,0,355
11804,04-04-19,04-08-19,556363,11286,15,2,5,5,59,9,SAT,0,160
12497,05/30/19,05/30/19,556363,10020,7,2,5,5,59,9,SAT,0,160
11470,03/20/19,03/28/19,48967,836,61,2,5,5,59,9,SAT,0,227
12292,05-02-19,05-03-19,2382122,11798,48,2,5,5,59,9,SAT,0,625
12374,05/20/19,05/21/19,51511,1328,67,2,5,5,59,9,SAT,0,367
10324,10/16/18,10/25/18,760794,11840,44,2,5,5,59,9,SAT,0,842
11519,03/21/19,04-01-19,1793575,10668,31,2,5,5,59,9,SAT,0,293
11340,03/15/19,03/20/19,54341,11107,56,2,5,5,59,9,SAT,0,37
11341,03/15/19,03/20/19,55199,9247,47,2,5,5,59,9,SAT,0,85
11599,03/27/19,03/29/19,1706955,10197,61,2,5,5,59,9,SAT,0,945
12918,08/26/19,08/26/19,57190,11960,30,2,5,5,59,9,SAT,0,553
10922,02/15/19,02/18/19,57417,911,36,2,5,5,59,9,SAT,0,633
10765,01/25/19,01/29/19,1805252,2601,14,2,5,5,59,9,SAT,0,510
10991,02/25/19,02/27/19,640671,10187,21,2,5,5,59,9,SAT,0,514
12908,08/26/19,08/26/19,59907,11796,44,2,5,5,59,9,SAT,0,447
9263,03/22/18,03/23/18,60124,12229,66,2,5,5,59,9,SAT,0,839
12245,04/24/19,04/25/19,542926,11182,49,2,5,5,59,9,SAT,0,103
11058,03-04-19,03-05-19,1708744,10990,4,2,5,5,59,9,SAT,0,352
11140,03-07-19,03-12-19,61656,10328,69,2,5,5,59,9,SAT,0,950
11821,04-04-19,04-05-19,63454,1702,8,2,5,5,59,9,SAT,0,853
10925,02/15/19,02/18/19,64849,12116,60,2,5,5,59,9,SAT,0,218
12919,08/27/19,08/27/19,65374,9873,76,2,5,5,59,9,SAT,0,317
12948,08/30/19,08/30/19,65460,11768,5,2,5,5,59,9,SAT,0,516
11181,03-12-19,03-12-19,2188567,10900,14,2,5,5,59,9,SAT,0,566
11151,03-07-19,03-12-19,66078,10644,58,2,5,5,59,9,SAT,0,556
11229,03/13/19,03/18/19,66515,10217,61,2,5,5,59,9,SAT,0,534
11481,03/20/19,03/28/19,66515,2321,47,2,5,5,59,9,SAT,0,534
12276,04/25/19,04/25/19,67131,518,8,2,5,5,59,9,SAT,0,747
11931,04-12-19,04/15/19,884922,1462,65,2,5,5,59,9,SAT,0,300
11551,03/22/19,04-01-19,70575,1717,11,2,5,5,59,9,SAT,0,86
11452,03/20/19,03/22/19,71327,10552,73,2,5,5,59,9,SAT,0,357
12829,07/31/19,07/31/19,2157508,11676,52,2,5,5,59,9,SAT,0,60
10793,01/30/19,02-01-19,642014,9856,26,2,5,5,59,9,SAT,0,542
12914,08/26/19,08/26/19,1855624,2335,9,2,5,5,59,9,SAT,0,881
9471,05-04-18,05-07-18,139171,1873,39,2,5,5,59,9,SAT,0,564
10056,08/21/18,08/22/18,74551,11796,10,2,5,5,59,9,SAT,0,457
12009,04/16/19,04/17/19,1742816,10067,11,2,5,5,59,9,SAT,0,324
10988,02/25/19,02/26/19,75895,12024,58,2,5,5,59,9,SAT,0,511
9974,07/20/18,07/23/18,360204,10710,32,2,5,5,59,9,SAT,0,623
12409,05/22/19,05/23/19,78002,1200,66,2,5,5,59,9,SAT,0,592
11868,04-10-19,04-12-19,78459,207,48,2,5,5,59,9,SAT,0,664
9835,06/26/18,06/29/18,78671,10793,37,2,5,5,59,9,SAT,0,482
12088,04/18/19,04/22/19,78815,11136,42,2,5,5,59,9,SAT,0,823
9714,06-06-18,06-07-18,1878989,11066,17,2,5,5,59,9,SAT,0,558
12766,07/23/19,07/23/19,79655,8858,71,2,5,5,59,9,SAT,0,776
11567,03/22/19,04-01-19,441579,11119,56,2,5,5,59,9,SAT,0,138
11894,04-10-19,04-12-19,81556,842,10,2,5,5,59,9,SAT,0,758
10464,11-08-18,11-09-18,82301,9247,71,2,5,5,59,9,SAT,0,511
11929,04-12-19,04/15/19,82301,9792,33,2,5,5,59,9,SAT,0,511
10641,12/27/18,01-07-19,2124882,8399,13,2,5,5,59,9,SAT,0,174
11502,03/21/19,04-02-19,2109413,9558,52,2,5,5,59,9,SAT,0,545
11038,03-01-19,03-04-19,85155,10883,21,2,5,5,59,9,SAT,0,16
11893,04-10-19,04-12-19,511106,8385,28,2,5,5,59,9,SAT,0,954
12126,04/18/19,04/23/19,85189,10105,30,2,5,5,59,9,SAT,0,943
12364,05/17/19,05/17/19,85216,2384,14,2,5,5,59,9,SAT,0,615
11477,03/20/19,03/28/19,272262,884,25,2,5,5,59,9,SAT,0,848
11321,03/15/19,03/20/19,89805,10218,37,2,5,5,59,9,SAT,0,354
10300,10-11-18,10/17/18,2137040,10426,64,2,5,5,59,9,SAT,0,268
11622,03/27/19,04-02-19,257903,1115,58,2,5,5,59,9,SAT,0,615
11509,03/21/19,04-01-19,93540,11175,26,2,5,5,59,9,SAT,0,754
11755,04-03-19,04-04-19,1982297,345,24,2,5,5,59,9,SAT,0,971
10707,01/15/19,01/25/19,540969,10639,63,2,5,5,59,9,SAT,0,100
12928,08/27/19,08/27/19,96455,11170,38,2,5,5,59,9,SAT,0,13
9451,05-02-18,05-07-18,1873944,2321,50,2,5,5,59,9,SAT,0,256
9624,05/21/18,05/22/18,501301,10187,25,2,5,5,59,9,SAT,0,728
11769,04-03-19,04-05-19,864114,10430,41,2,5,5,59,9,SAT,0,112
11857,04-08-19,04-11-19,99745,12414,10,2,5,5,59,9,SAT,0,406
12196,04/22/19,04/24/19,590488,7797,16,2,5,5,59,9,SAT,0,554
11463,03/20/19,03/28/19,100054,10490,63,2,5,5,59,9,SAT,0,684
12826,07/31/19,07/31/19,100930,11097,25,2,5,5,59,9,SAT,0,563
9004,01/29/18,01/31/18,101467,11849,17,2,5,5,59,9,SAT,0,960
9331,04-04-18,04-11-18,101625,12621,41,2,5,5,59,9,SAT,0,610
11797,04-04-19,04-09-19,174457,12087,63,2,5,5,59,9,SAT,0,516
12021,04/17/19,04/17/19,206949,2263,26,2,5,5,59,9,SAT,0,506
11577,03/22/19,04-01-19,107666,1695,42,2,5,5,59,9,SAT,0,851
11451,03/20/19,03/22/19,1890576,10744,62,2,5,5,59,9,SAT,0,419
10302,10-11-18,10-12-18,109553,11116,37,2,5,5,59,9,SAT,0,544
11128,03-07-19,03-08-19,1915223,8891,75,2,5,5,59,9,SAT,0,653
12277,04/25/19,04/30/19,111142,1615,39,2,5,5,59,9,SAT,0,728
12570,06-05-19,06-06-19,112516,9824,39,2,5,5,59,9,SAT,0,296
12012,04/16/19,04/17/19,396253,7797,6,2,5,5,59,9,SAT,0,488
9596,05/18/18,05/18/18,113042,8601,7,2,5,5,59,9,SAT,0,597
11844,04-08-19,04-09-19,2200033,10127,30,2,5,5,59,9,SAT,0,969
12253,04/24/19,04/25/19,113801,11482,50,2,5,5,59,9,SAT,0,379
11487,03/20/19,04/18/19,1789721,1097,58,2,5,5,59,9,SAT,0,838
12138,04/19/19,04/23/19,1895706,11972,8,2,5,5,59,9,SAT,0,419
12011,04/16/19,04/17/19,1816542,10563,37,2,5,5,59,9,SAT,0,967
12356,05/16/19,05/17/19,2109353,10820,23,2,5,5,59,9,SAT,0,83
11580,03/22/19,04-01-19,118013,8970,58,2,5,5,59,9,SAT,0,655
9351,04/17/18,04/25/18,1790375,11169,27,2,5,5,59,9,SAT,0,85
11081,03-05-19,03-07-19,1790375,12589,22,2,5,5,59,9,SAT,0,85
11324,03/15/19,03/18/19,119606,11029,55,2,5,5,59,9,SAT,0,167
12898,08/23/19,08/23/19,144490,11175,54,2,5,5,59,9,SAT,0,171
9297,03/29/18,04-03-18,122348,9562,18,2,5,5,59,9,SAT,0,489
12613,06/13/19,06/13/19,122646,9559,53,2,5,5,59,9,SAT,0,380
12415,05/22/19,05/23/19,123852,11107,1,2,5,5,59,9,SAT,0,376
10645,12/28/18,01-07-19,124062,10850,25,2,5,5,59,9,SAT,0,659
12232,04/24/19,04/25/19,127179,224,26,2,5,5,59,9,SAT,0,17
12291,05-02-19,05-02-19,1867521,978,47,2,5,5,59,9,SAT,0,244
10288,10-09-18,10-10-18,129391,10720,58,2,5,5,59,9,SAT,0,605
9113,02/16/18,02/21/18,683567,1210,36,2,5,5,59,9,SAT,0,785
11558,03/22/19,04-01-19,1878117,11063,25,2,5,5,59,9,SAT,0,724
11945,04-12-19,04/15/19,1763084,10550,65,2,5,5,59,9,SAT,0,858
10501,11/19/18,11/20/18,133812,843,69,2,5,5,59,9,SAT,0,872
11775,04-04-19,04-04-19,135253,879,77,2,5,5,59,9,SAT,0,193
11621,03/27/19,04-02-19,332913,11287,37,2,5,5,59,9,SAT,0,711
12234,04/24/19,04/25/19,1834550,10637,25,2,5,5,59,9,SAT,0,972
9173,03-01-18,03-07-18,545654,12605,77,2,5,5,59,9,SAT,0,22
12078,04/18/19,04/22/19,1886765,11552,40,2,5,5,59,9,SAT,0,50
11107,03-06-19,03-07-19,139466,581,30,2,5,5,59,9,SAT,0,332
10187,09/19/18,09/28/18,140752,858,50,2,5,5,59,9,SAT,0,70
11163,03-08-19,03-12-19,140803,8113,2,2,5,5,59,9,SAT,0,179
10630,12/20/18,12/20/18,141424,8948,8,2,5,5,59,9,SAT,0,734
9644,05/23/18,05/30/18,2096685,1748,34,2,5,5,59,9,SAT,0,732
12290,05-02-19,05-02-19,144102,11170,36,2,5,5,59,9,SAT,0,418
11614,03/27/19,04-02-19,144491,1499,73,2,5,5,59,9,SAT,0,627
11898,04-10-19,04-12-19,787917,10324,33,2,5,5,59,9,SAT,0,366
12091,04/18/19,04/24/19,2006354,12334,69,2,5,5,59,9,SAT,0,803
11071,03-05-19,03-07-19,2184391,10325,4,2,5,5,59,9,SAT,0,821
11543,03/21/19,04-01-19,153055,10071,10,2,5,5,59,9,SAT,0,753
10210,09/24/18,09/27/18,1726417,2531,78,2,5,5,59,9,SAT,0,559
12249,04/24/19,04/25/19,1860057,10327,43,2,5,5,59,9,SAT,0,544
11624,03/27/19,04-02-19,156392,1526,22,2,5,5,59,9,SAT,0,341
10979,02/22/19,02/26/19,157154,9798,21,2,5,5,59,9,SAT,0,334
11158,03-07-19,03-12-19,403643,11220,44,2,5,5,59,9,SAT,0,522
12289,05-02-19,05-03-19,1710881,11932,10,2,5,5,59,9,SAT,0,499
12895,08/23/19,08/23/19,2119411,12061,37,2,5,5,59,9,SAT,0,541
12397,05/21/19,05/22/19,158634,2107,17,2,5,5,59,9,SAT,0,345
12885,08/21/19,08/21/19,159376,187,38,2,5,5,59,9,SAT,0,861
10632,12/20/18,12/21/18,2052828,9247,77,2,5,5,59,9,SAT,0,922
11234,03/13/19,03/18/19,339749,10235,36,2,5,5,59,9,SAT,0,267
11157,03-07-19,03-12-19,892794,2559,5,2,5,5,59,9,SAT,0,677
11662,03/28/19,03/28/19,1839926,9628,36,2,5,5,59,9,SAT,0,695
11924,04-12-19,04/30/19,891422,8797,37,2,5,5,59,9,SAT,0,40
9211,03-08-18,03-09-18,166640,12617,66,2,5,5,59,9,SAT,0,168
12770,07/23/19,07/23/19,166641,7841,33,2,5,5,59,9,SAT,0,432
12131,04/18/19,04/18/19,893888,7973,65,2,5,5,59,9,SAT,0,520
9392,04/24/18,04/27/18,356223,2559,74,2,5,5,59,9,SAT,0,954
11765,04-03-19,04-05-19,356223,12510,21,2,5,5,59,9,SAT,0,954
11501,03/21/19,04-02-19,172037,2500,56,2,5,5,59,9,SAT,0,602
11435,03/20/19,04-01-19,172146,10428,49,2,5,5,59,9,SAT,0,51
11979,04/15/19,04/16/19,579501,10116,70,2,5,5,59,9,SAT,0,32
11031,02/28/19,03-01-19,174443,10067,54,2,5,5,59,9,SAT,0,99
12007,04/16/19,04/17/19,1827023,300,78,2,5,5,59,9,SAT,0,474
11162,03-08-19,03-12-19,174446,1692,12,2,5,5,59,9,SAT,0,204
11241,03/13/19,03/18/19,1797742,8766,62,2,5,5,59,9,SAT,0,219
11785,04-04-19,04-05-19,388548,9372,74,2,5,5,59,9,SAT,0,651
12361,05/17/19,05/17/19,175835,9021,19,2,5,5,59,9,SAT,0,689
9058,02-06-18,02-09-18,176587,10073,71,2,5,5,59,9,SAT,0,681
11795,04-04-19,04-08-19,177173,2260,52,2,5,5,59,9,SAT,0,469
12839,08-05-19,08-05-19,177189,8585,67,2,5,5,59,9,SAT,0,938
9501,05-09-18,05-10-18,783037,496,50,2,5,5,59,9,SAT,0,406
10771,01/25/19,01/29/19,1850548,10031,29,2,5,5,59,9,SAT,0,343
12721,07-08-19,07-10-19,179072,9970,66,2,5,5,59,9,SAT,0,935
9857,06/28/18,06/29/18,1795411,11113,18,2,5,5,59,9,SAT,0,742
11203,03-12-19,03/20/19,181433,8057,49,2,5,5,59,9,SAT,0,176
12954,08/30/19,08/30/19,181541,11932,43,2,5,5,59,9,SAT,0,381
12080,04/18/19,04/19/19,182773,10644,49,2,5,5,59,9,SAT,0,924
12942,08/29/19,08/29/19,183349,2262,31,2,5,5,59,9,SAT,0,844
12099,04/18/19,04/19/19,777807,2316,19,2,5,5,59,9,SAT,0,511
9066,02-08-18,02-12-18,185337,11097,78,2,5,5,59,9,SAT,0,867
11094,03-06-19,03-07-19,607566,10147,17,2,5,5,59,9,SAT,0,680
12396,05/21/19,05/22/19,185779,11051,16,2,5,5,59,9,SAT,0,145
11750,04-03-19,04-04-19,2180361,8359,40,2,5,5,59,9,SAT,0,727
9836,06/26/18,06/29/18,186412,10563,17,2,5,5,59,9,SAT,0,779
10818,02-04-19,02-05-19,187783,11031,30,2,5,5,59,9,SAT,0,331
11124,03-07-19,03-08-19,188598,938,4,2,5,5,59,9,SAT,0,799
11766,04-03-19,04-05-19,191707,12027,40,2,5,5,59,9,SAT,0,545
9181,03-05-18,03-07-18,577143,10112,69,2,5,5,59,9,SAT,0,6
9701,06-05-18,06-07-18,1873225,9560,62,2,5,5,59,9,SAT,0,812
12197,04/23/19,04/24/19,192129,11036,56,2,5,5,59,9,SAT,0,957
11575,03/22/19,04-01-19,192684,8057,56,2,5,5,59,9,SAT,0,407
10574,12-11-18,12-12-18,193547,2500,14,2,5,5,59,9,SAT,0,779
11983,04/15/19,04/16/19,193547,922,46,2,5,5,59,9,SAT,0,779
11338,03/15/19,03/20/19,1890190,8742,42,2,5,5,59,9,SAT,0,53
10504,11/19/18,11/20/18,2289945,8569,77,2,5,5,59,9,SAT,0,868
10954,02/21/19,02/22/19,195004,1106,12,2,5,5,59,9,SAT,0,427
11539,03/21/19,03/27/19,2054515,11479,10,2,5,5,59,9,SAT,0,225
11822,04-04-19,04-08-19,197119,8985,39,2,5,5,59,9,SAT,0,294
11665,03/28/19,03/28/19,662434,11252,78,2,5,5,59,9,SAT,0,902
12819,07/30/19,07/30/19,662434,2690,65,2,5,5,59,9,SAT,0,902
11601,03/27/19,04-03-19,2058652,10217,19,2,5,5,59,9,SAT,0,653
11990,04/16/19,04/17/19,1917927,7797,48,2,5,5,59,9,SAT,0,319
12654,06/26/19,06/26/19,889606,1846,32,2,5,5,59,9,SAT,0,301
9527,05-11-18,05/15/18,467688,7682,48,2,5,5,59,9,SAT,0,119
10905,02/14/19,02/18/19,206094,10107,32,2,5,5,59,9,SAT,0,578
11228,03/13/19,03/18/19,208450,1706,77,2,5,5,59,9,SAT,0,449
10902,02/14/19,02/18/19,2438551,10160,7,2,5,5,59,9,SAT,0,135
10598,12/14/18,12/14/18,209716,11182,36,2,5,5,59,9,SAT,0,465
11115,03-07-19,03-08-19,211239,10565,46,2,5,5,59,9,SAT,0,198
11882,04-10-19,04-12-19,213115,865,78,2,5,5,59,9,SAT,0,19
11782,04-04-19,04-05-19,214278,11059,1,2,5,5,59,9,SAT,0,581
11456,03/20/19,04-03-19,214593,9270,63,2,5,5,59,9,SAT,0,320
12172,04/22/19,04/23/19,215467,11150,22,2,5,5,59,9,SAT,0,777
11193,03-12-19,03/18/19,644740,10737,27,2,5,5,59,9,SAT,0,619
11132,03-07-19,03-08-19,216965,9775,40,2,5,5,59,9,SAT,0,600
10376,10/23/18,10/30/18,217216,7654,54,2,5,5,59,9,SAT,0,515
11860,04-09-19,04-11-19,217216,356,11,2,5,5,59,9,SAT,0,515
12242,04/24/19,04/25/19,218519,9792,35,2,5,5,59,9,SAT,0,593
11952,04-12-19,04/15/19,220294,12621,74,2,5,5,59,9,SAT,0,430
11131,03-07-19,03-08-19,548986,10603,17,2,5,5,59,9,SAT,0,571
11658,03/28/19,03/28/19,221521,8965,5,2,5,5,59,9,SAT,0,501
12330,05-09-19,05/17/19,222811,10152,68,2,5,5,59,9,SAT,0,681
9880,07-04-18,07-05-18,223769,9370,44,2,5,5,59,9,SAT,0,36
12794,07/29/19,07/29/19,224172,601,41,2,5,5,59,9,SAT,0,206
9287,03/26/18,03/28/18,827837,10668,19,2,5,5,59,9,SAT,0,59
11723,04-02-19,04-04-19,225888,8766,31,2,5,5,59,9,SAT,0,927
12226,04/24/19,04/30/19,1803176,940,17,2,5,5,59,9,SAT,0,763
11851,04-08-19,04-10-19,228140,8885,10,2,5,5,59,9,SAT,0,549
12047,04/17/19,04/19/19,228149,10764,27,2,5,5,59,9,SAT,0,353
10206,09/24/18,09/27/18,230866,9893,3,2,5,5,59,9,SAT,0,561
10756,01/24/19,01/29/19,232229,8766,26,2,5,5,59,9,SAT,0,151
11165,03-08-19,03-12-19,232229,221,68,2,5,5,59,9,SAT,0,151
11897,04-10-19,04-12-19,234953,9634,50,2,5,5,59,9,SAT,0,648
10981,02/22/19,02/26/19,747628,11039,23,2,5,5,59,9,SAT,0,375
12250,04/24/19,04/25/19,235431,11537,11,2,5,5,59,9,SAT,0,426
11613,03/27/19,04-02-19,283840,1229,16,2,5,5,59,9,SAT,0,214
9440,05-02-18,05-03-18,236075,2262,51,2,5,5,59,9,SAT,0,793
12247,04/24/19,04/30/19,2103580,1210,4,2,5,5,59,9,SAT,0,166
10422,10/30/18,10/31/18,1757534,820,3,2,5,5,59,9,SAT,0,356
12212,04/23/19,04/24/19,1757534,12061,18,2,5,5,59,9,SAT,0,356
12028,04/17/19,04/17/19,2055696,10569,57,2,5,5,59,9,SAT,0,603
11125,03-07-19,03-08-19,561259,11273,7,2,5,5,59,9,SAT,0,892
11650,03/28/19,03/28/19,568720,10601,61,2,5,5,59,9,SAT,0,897
11939,04-12-19,04/15/19,2417302,2797,27,2,5,5,59,9,SAT,0,12
12156,04/19/19,04/23/19,241812,9204,20,2,5,5,59,9,SAT,0,871
10382,10/23/18,10/25/18,1806702,11148,47,2,5,5,59,9,SAT,0,301
11813,04-04-19,04-08-19,248261,10979,12,2,5,5,59,9,SAT,0,186
11306,03/14/19,03/21/19,1895235,9856,52,2,5,5,59,9,SAT,0,716
12258,04/25/19,04/25/19,1895235,12176,50,2,5,5,59,9,SAT,0,716
9917,07/13/18,07/13/18,652097,2519,12,2,5,5,59,9,SAT,0,625
12236,04/24/19,04/24/19,478197,8356,32,2,5,5,59,9,SAT,0,475
10095,08/30/18,08/31/18,1911104,10160,65,2,5,5,59,9,SAT,0,159
12160,04/19/19,04/23/19,2103608,2178,64,2,5,5,59,9,SAT,0,24
10849,02-07-19,02-08-19,251479,2656,41,2,5,5,59,9,SAT,0,670
12252,04/24/19,04/25/19,251479,10345,33,2,5,5,59,9,SAT,0,670
12710,07-03-19,07-03-19,251479,9856,17,2,5,5,59,9,SAT,0,670
11046,03-01-19,03-04-19,253955,12399,38,2,5,5,59,9,SAT,0,356
9037,02-05-18,02-05-18,886056,11474,1,2,5,5,59,9,SAT,0,578
11095,03-06-19,03-07-19,1844515,11840,60,2,5,5,59,9,SAT,0,213
11853,04-08-19,04-11-19,603246,11676,1,2,5,5,59,9,SAT,0,365
12363,05/17/19,05/17/19,258750,2262,55,2,5,5,59,9,SAT,0,807
11385,03/19/19,04-01-19,259697,8858,40,2,5,5,59,9,SAT,0,174
10673,01-09-19,01-11-19,1812892,138,78,2,5,5,59,9,SAT,0,632
9418,04/26/18,05-02-18,1795704,10991,57,2,5,5,59,9,SAT,0,49
11744,04-03-19,04-04-19,262163,2321,47,2,5,5,59,9,SAT,0,717
11837,04-08-19,04-12-19,263167,9546,27,2,5,5,59,9,SAT,0,958
11598,03/27/19,04-03-19,566327,1748,67,2,5,5,59,9,SAT,0,766
12118,04/18/19,04/23/19,266433,11849,49,2,5,5,59,9,SAT,0,604
11786,04-04-19,04-05-19,2036679,2555,52,2,5,5,59,9,SAT,0,603
12149,04/19/19,04/23/19,270589,11444,33,2,5,5,59,9,SAT,0,756
12472,05/28/19,05/28/19,271079,2158,28,2,5,5,59,9,SAT,0,254
11651,03/28/19,03/28/19,887187,9272,13,2,5,5,59,9,SAT,0,132
11963,04/15/19,04/15/19,274099,1548,29,2,5,5,59,9,SAT,0,964
12390,05/21/19,05/22/19,274164,11937,65,2,5,5,59,9,SAT,0,506
11667,03/28/19,03/28/19,2455113,2262,25,2,5,5,59,9,SAT,0,988
11595,03/27/19,04-03-19,1893386,9634,11,2,5,5,59,9,SAT,0,633
12040,04/17/19,04/18/19,277317,1465,66,2,5,5,59,9,SAT,0,699
11223,03/13/19,03/18/19,704374,224,75,2,5,5,59,9,SAT,0,600
10633,12/20/18,12/21/18,280976,9775,66,2,5,5,59,9,SAT,0,456
10627,12/20/18,12/21/18,2039169,7841,21,2,5,5,59,9,SAT,0,630
9852,06/28/18,06/29/18,885374,9799,53,2,5,5,59,9,SAT,0,281
12421,05/22/19,05/22/19,283002,11001,23,2,5,5,59,9,SAT,0,818
12102,04/18/19,04/22/19,286967,9662,29,2,5,5,59,9,SAT,0,623
9300,03/29/18,04-05-18,288651,11150,64,2,5,5,59,9,SAT,0,449
12518,05/30/19,05/31/19,845451,12256,39,2,5,5,59,9,SAT,0,858
10696,01/14/19,01/23/19,289515,11131,38,2,5,5,59,9,SAT,0,325
12268,04/25/19,04/30/19,289890,12027,63,2,5,5,59,9,SAT,0,573
9703,06-05-18,06-07-18,1770124,12174,7,2,5,5,59,9,SAT,0,979
12485,05/29/19,05/30/19,402350,2107,14,2,5,5,59,9,SAT,0,818
11655,03/28/19,03/28/19,1906302,1085,69,2,5,5,59,9,SAT,0,815
12517,05/30/19,05/31/19,1906302,11711,20,2,5,5,59,9,SAT,0,815
11119,03-07-19,03-08-19,2155731,11171,15,2,5,5,59,9,SAT,0,266
11362,03/18/19,03/20/19,296782,1356,30,2,5,5,59,9,SAT,0,642
11645,03/28/19,03/28/19,297607,10069,14,2,5,5,59,9,SAT,0,114
11572,03/22/19,04-01-19,300681,461,26,2,5,5,59,9,SAT,0,704
10451,11-06-18,11-08-18,300910,235,24,2,5,5,59,9,SAT,0,604
9454,05-02-18,05-07-18,301059,10217,28,2,5,5,59,9,SAT,0,693
12567,06-05-19,06-06-19,301177,1308,74,2,5,5,59,9,SAT,0,607
9863,06/29/18,06/29/18,2118111,11825,66,2,5,5,59,9,SAT,0,601
12169,04/22/19,04/24/19,302988,1526,74,2,5,5,59,9,SAT,0,495
11237,03/13/19,03/18/19,304865,10793,55,2,5,5,59,9,SAT,0,831
10792,01/30/19,02-01-19,305594,11030,3,2,5,5,59,9,SAT,0,894
11928,04-12-19,04/15/19,516389,10639,75,2,5,5,59,9,SAT,0,25
11808,04-04-19,04-08-19,307717,11822,29,2,5,5,59,9,SAT,0,454
